className,method,score
cn.nc.issuance.book.dcm.service.dto.BookApplicationSceenEntityNew,cn.nc.issuance.book.dcm.service.dto.BookApplicationSceenEntityNew#setTimeCheck,0
cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController,cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController#getParameterRule,1
cn.nc.issuance.book.dcm.batch.service.impl.PurchaseDetailsTotalTaskServiceImpl,cn.nc.issuance.book.dcm.batch.service.impl.PurchaseDetailsTotalTaskServiceImpl#insertPurchaseTotalTaskHis,15
cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController,cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController#unbindThirdInstUserByCheckcode,1
cn.nc.channel.auth.outer.service.dto.password.UserResetPwdReqDto,cn.nc.channel.auth.outer.service.dto.password.UserResetPwdReqDto#getType,1
cn.nc.issuance.book.dcm.query.service.impl.GroupInvitationQueryServiceImpl,cn.nc.issuance.book.dcm.query.service.impl.GroupInvitationQueryServiceImpl#queryQualifiedInvestor,5
cn.nc.issuance.book.dcm.service.dto.querystatistics.GroupFeeManagementDto,cn.nc.issuance.book.dcm.service.dto.querystatistics.GroupFeeManagementDto#setBankNameBefore,0
cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController,cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController#queryIssuedFinancialBonds,1
cn.nc.pub.msg.service.dto.log.MsgEmailRecordRespDto,cn.nc.pub.msg.service.dto.log.MsgEmailRecordRespDto#setInputTime,0
cn.nc.user.xfile.facade.controller.XFileExtController,cn.nc.user.xfile.facade.controller.XFileExtController#batchDeleteByIds,10
cn.nc.common.transaction.support.impl.RequestMessageEntity,cn.nc.common.transaction.support.impl.RequestMessageEntity#setBusinessKey,0
cn.nc.pub.msg.service.dto.setting.MsgTemplateRespDto,cn.nc.pub.msg.service.dto.setting.MsgTemplateRespDto#getTemplateName,1
cn.nc.channel.mix.adapter.repository.dao.DcmBondDao,cn.nc.channel.mix.adapter.repository.dao.DcmBondDao#queryInstitutionBondUnderwritingStats,0
